schema_version,source_id,source_sha256,evidence_source_id,reference_period,observation_status,source_locator,transformation_id,age_band,sex,count
1.0,census_2021_age_gender_csv,c0c1c2f211737129a8ec8f3db52442baf5ad0d85dd8f627e3f833314e9f9dabc,,2021-03-21,observed,csv_age_29,csv_age_gender_long_v1,29,male,611
1.0,census_2021_age_gender_csv,c0c1c2f211737129a8ec8f3db52442baf5ad0d85dd8f627e3f833314e9f9dabc,,2021-03-21,observed,csv_age_29,csv_age_gender_long_v1,29,female,633
1.0,census_2021_age_gender_csv,c0c1c2f211737129a8ec8f3db52442baf5ad0d85dd8f627e3f833314e9f9dabc,,2021-03-21,observed,csv_age_29,csv_age_gender_long_v1,29,all,1244
1.0,census_2021_age_gender_csv,c0c1c2f211737129a8ec8f3db52442baf5ad0d85dd8f627e3f833314e9f9dabc,,2021-03-21,observed,csv_age_30,csv_age_gender_long_v1,30,male,637
1.0,census_2021_age_gender_csv,c0c1c2f211737129a8ec8f3db52442baf5ad0d85dd8f627e3f833314e9f9dabc,,2021-03-21,observed,csv_age_30,csv_age_gender_long_v1,30,female,633
1.0,census_2021_age_gender_csv,c0c1c2f211737129a8ec8f3db52442baf5ad0d85dd8f627e3f833314e9f9dabc,,2021-03-21,observed,csv_age_30,csv_age_gender_long_v1,30,all,1270
1.0,census_2021_age_gender_csv,c0c1c2f211737129a8ec8f3db52442baf5ad0d85dd8f627e3f833314e9f9dabc,,2021-03-21,observed,csv_age_31,csv_age_gender_long_v1,31,male,620
1.0,census_2021_age_gender_csv,c0c1c2f211737129a8ec8f3db52442baf5ad0d85dd8f627e3f833314e9f9dabc,,2021-03-21,observed,csv_age_31,csv_age_gender_long_v1,31,female,635
1.0,census_2021_age_gender_csv,c0c1c2f211737129a8ec8f3db52442baf5ad0d85dd8f627e3f833314e9f9dabc,,2021-03-21,observed,csv_age_31,csv_age_gender_long_v1,31,all,1255
1.0,census_2021_age_gender_csv,c0c1c2f211737129a8ec8f3db52442baf5ad0d85dd8f627e3f833314e9f9dabc,,2021-03-21,observed,csv_age_32,csv_age_gender_long_v1,32,male,685
1.0,census_2021_age_gender_csv,c0c1c2f211737129a8ec8f3db52442baf5ad0d85dd8f627e3f833314e9f9dabc,,2021-03-21,observed,csv_age_32,csv_age_gender_long_v1,32,female,707
1.0,census_2021_age_gender_csv,c0c1c2f211737129a8ec8f3db52442baf5ad0d85dd8f627e3f833314e9f9dabc,,2021-03-21,observed,csv_age_32,csv_age_gender_long_v1,32,all,1392
1.0,census_2021_age_gender_csv,c0c1c2f211737129a8ec8f3db52442baf5ad0d85dd8f627e3f833314e9f9dabc,,2021-03-21,observed,csv_age_33,csv_age_gender_long_v1,33,male,691
1.0,census_2021_age_gender_csv,c0c1c2f211737129a8ec8f3db52442baf5ad0d85dd8f627e3f833314e9f9dabc,,2021-03-21,observed,csv_age_33,csv_age_gender_long_v1,33,female,686
1.0,census_2021_age_gender_csv,c0c1c2f211737129a8ec8f3db52442baf5ad0d85dd8f627e3f833314e9f9dabc,,2021-03-21,observed,csv_age_33,csv_age_gender_long_v1,33,all,1377
1.0,census_2021_age_gender_csv,c0c1c2f211737129a8ec8f3db52442baf5ad0d85dd8f627e3f833314e9f9dabc,,2021-03-21,observed,csv_age_34,csv_age_gender_long_v1,34,male,660
1.0,census_2021_age_gender_csv,c0c1c2f211737129a8ec8f3db52442baf5ad0d85dd8f627e3f833314e9f9dabc,,2021-03-21,observed,csv_age_34,csv_age_gender_long_v1,34,female,634
1.0,census_2021_age_gender_csv,c0c1c2f211737129a8ec8f3db52442baf5ad0d85dd8f627e3f833314e9f9dabc,,2021-03-21,observed,csv_age_34,csv_age_gender_long_v1,34,all,1294
1.0,census_2021_age_gender_csv,c0c1c2f211737129a8ec8f3db52442baf5ad0d85dd8f627e3f833314e9f9dabc,,2021-03-21,observed,csv_age_35,csv_age_gender_long_v1,35,male,719
1.0,census_2021_age_gender_csv,c0c1c2f211737129a8ec8f3db52442baf5ad0d85dd8f627e3f833314e9f9dabc,,2021-03-21,observed,csv_age_35,csv_age_gender_long_v1,35,female,665
1.0,census_2021_age_gender_csv,c0c1c2f211737129a8ec8f3db52442baf5ad0d85dd8f627e3f833314e9f9dabc,,2021-03-21,observed,csv_age_35,csv_age_gender_long_v1,35,all,1384
1.0,census_2021_age_gender_csv,c0c1c2f211737129a8ec8f3db52442baf5ad0d85dd8f627e3f833314e9f9dabc,,2021-03-21,observed,csv_age_36,csv_age_gender_long_v1,36,male,693
1.0,census_2021_age_gender_csv,c0c1c2f211737129a8ec8f3db52442baf5ad0d85dd8f627e3f833314e9f9dabc,,2021-03-21,observed,csv_age_36,csv_age_gender_long_v1,36,female,759
1.0,census_2021_age_gender_csv,c0c1c2f211737129a8ec8f3db52442baf5ad0d85dd8f627e3f833314e9f9dabc,,2021-03-21,observed,csv_age_36,csv_age_gender_long_v1,36,all,1452
1.0,census_2021_age_gender_csv,c0c1c2f211737129a8ec8f3db52442baf5ad0d85dd8f627e3f833314e9f9dabc,,2021-03-21,observed,csv_age_37,csv_age_gender_long_v1,37,male,756
