schema_version,source_id,source_sha256,evidence_source_id,reference_period,observation_status,source_locator,transformation_id,measure,category,subcategory,value,unit
1.0,census_2021_household_type_tenure_csv,5404e3ccb551b5e27b4bd5edf1f628f9e52bf733cd495150746ecd7b6b059e66,,2021-03-21,observed,csv_couple_with_dependent_children_staff_or_service_accom,csv_household_tenure_long_v1,households,household_type,Couple with dependent children | Staff or service accom.,160,households
1.0,census_2021_household_type_tenure_csv,5404e3ccb551b5e27b4bd5edf1f628f9e52bf733cd495150746ecd7b6b059e66,,2021-03-21,observed,csv_couple_with_dependent_children_registered_lodging_house,csv_household_tenure_long_v1,households,household_type,Couple with dependent children | Registered lodging house,100,households
1.0,census_2021_household_type_tenure_csv,5404e3ccb551b5e27b4bd5edf1f628f9e52bf733cd495150746ecd7b6b059e66,,2021-03-21,observed,csv_couple_with_dependent_children_private_lodging,csv_household_tenure_long_v1,households,household_type,Couple with dependent children | Private lodging,140,households
1.0,census_2021_household_type_tenure_csv,5404e3ccb551b5e27b4bd5edf1f628f9e52bf733cd495150746ecd7b6b059e66,,2021-03-21,observed,csv_couple_with_dependent_children_other_non_qualified_accom,csv_household_tenure_long_v1,households,household_type,Couple with dependent children | Other non-qualified accom.,290,households
1.0,census_2021_household_type_tenure_csv,5404e3ccb551b5e27b4bd5edf1f628f9e52bf733cd495150746ecd7b6b059e66,,2021-03-21,observed,csv_couple_with_children_all_children_16_years_or_above_owner_occupied,csv_household_tenure_long_v1,households,household_type,Couple with children (all children 16 years or above) | Owner Occupied,2530,households
1.0,census_2021_household_type_tenure_csv,5404e3ccb551b5e27b4bd5edf1f628f9e52bf733cd495150746ecd7b6b059e66,,2021-03-21,observed,csv_couple_with_children_all_children_16_years_or_above_social_rental,csv_household_tenure_long_v1,households,household_type,Couple with children (all children 16 years or above) | Social Rental,410,households
1.0,census_2021_household_type_tenure_csv,5404e3ccb551b5e27b4bd5edf1f628f9e52bf733cd495150746ecd7b6b059e66,,2021-03-21,observed,csv_couple_with_children_all_children_16_years_or_above_qualified_rental,csv_household_tenure_long_v1,households,household_type,Couple with children (all children 16 years or above) | Qualified Rental,550,households
1.0,census_2021_household_type_tenure_csv,5404e3ccb551b5e27b4bd5edf1f628f9e52bf733cd495150746ecd7b6b059e66,,2021-03-21,observed,csv_couple_with_children_all_children_16_years_or_above_staff_or_service_accom,csv_household_tenure_long_v1,households,household_type,Couple with children (all children 16 years or above) | Staff or service accom.,60,households
1.0,census_2021_household_type_tenure_csv,5404e3ccb551b5e27b4bd5edf1f628f9e52bf733cd495150746ecd7b6b059e66,,2021-03-21,observed,csv_couple_with_children_all_children_16_years_or_above_registered_lodging_house,csv_household_tenure_long_v1,households,household_type,Couple with children (all children 16 years or above) | Registered lodging house,10,households
1.0,census_2021_household_type_tenure_csv,5404e3ccb551b5e27b4bd5edf1f628f9e52bf733cd495150746ecd7b6b059e66,,2021-03-21,observed,csv_couple_with_children_all_children_16_years_or_above_private_lodging,csv_household_tenure_long_v1,households,household_type,Couple with children (all children 16 years or above) | Private lodging,30,households
1.0,census_2021_household_type_tenure_csv,5404e3ccb551b5e27b4bd5edf1f628f9e52bf733cd495150746ecd7b6b059e66,,2021-03-21,observed,csv_couple_with_children_all_children_16_years_or_above_other_non_qualified_accom,csv_household_tenure_long_v1,households,household_type,Couple with children (all children 16 years or above) | Other non-qualified accom.,30,households
1.0,census_2021_household_type_tenure_csv,5404e3ccb551b5e27b4bd5edf1f628f9e52bf733cd495150746ecd7b6b059e66,,2021-03-21,observed,csv_couple_one_pensioner_owner_occupied,csv_household_tenure_long_v1,households,household_type,Couple (one pensioner) | Owner Occupied,980,households
1.0,census_2021_household_type_tenure_csv,5404e3ccb551b5e27b4bd5edf1f628f9e52bf733cd495150746ecd7b6b059e66,,2021-03-21,observed,csv_couple_one_pensioner_social_rental,csv_household_tenure_long_v1,households,household_type,Couple (one pensioner) | Social Rental,120,households
1.0,census_2021_household_type_tenure_csv,5404e3ccb551b5e27b4bd5edf1f628f9e52bf733cd495150746ecd7b6b059e66,,2021-03-21,observed,csv_couple_one_pensioner_qualified_rental,csv_household_tenure_long_v1,households,household_type,Couple (one pensioner) | Qualified Rental,200,households
1.0,census_2021_household_type_tenure_csv,5404e3ccb551b5e27b4bd5edf1f628f9e52bf733cd495150746ecd7b6b059e66,,2021-03-21,observed,csv_couple_one_pensioner_staff_or_service_accom,csv_household_tenure_long_v1,households,household_type,Couple (one pensioner) | Staff or service accom.,10,households
1.0,census_2021_household_type_tenure_csv,5404e3ccb551b5e27b4bd5edf1f628f9e52bf733cd495150746ecd7b6b059e66,,2021-03-21,observed,csv_couple_one_pensioner_other_non_qualified_accom,csv_household_tenure_long_v1,households,household_type,Couple (one pensioner) | Other non-qualified accom.,10,households
1.0,census_2021_household_type_tenure_csv,5404e3ccb551b5e27b4bd5edf1f628f9e52bf733cd495150746ecd7b6b059e66,,2021-03-21,observed,csv_single_pensioner_owner_occupied,csv_household_tenure_long_v1,households,household_type,Single pensioner | Owner Occupied,3090,households
1.0,census_2021_household_type_tenure_csv,5404e3ccb551b5e27b4bd5edf1f628f9e52bf733cd495150746ecd7b6b059e66,,2021-03-21,observed,csv_single_pensioner_social_rental,csv_household_tenure_long_v1,households,household_type,Single pensioner | Social Rental,1440,households
