schema_version,source_id,source_sha256,evidence_source_id,reference_period,observation_status,source_locator,transformation_id,sector,size_band,count,upper_bound,censoring,unit
1.0,labour_market_june_2025_manual_fixture,f2254ce92420ec96c9cc27b2282c0528a0a551c8a8db390720870cec305dca27,labour_market_june_2025_pdf,2025-06,observed,pdf_page_11,manual_pdf_transcription_v1,Transport and storage,20-49,10,,exact,undertakings
1.0,labour_market_june_2025_manual_fixture,f2254ce92420ec96c9cc27b2282c0528a0a551c8a8db390720870cec305dca27,labour_market_june_2025_pdf,2025-06,observed,pdf_page_11,manual_pdf_transcription_v1,Transport and storage,50+,10,,exact,undertakings
1.0,labour_market_june_2025_manual_fixture,f2254ce92420ec96c9cc27b2282c0528a0a551c8a8db390720870cec305dca27,labour_market_june_2025_pdf,2025-06,observed,pdf_page_11,manual_pdf_transcription_v1,Information and communication,1,280,,exact,undertakings
1.0,labour_market_june_2025_manual_fixture,f2254ce92420ec96c9cc27b2282c0528a0a551c8a8db390720870cec305dca27,labour_market_june_2025_pdf,2025-06,observed,pdf_page_11,manual_pdf_transcription_v1,Information and communication,2-5,80,,exact,undertakings
1.0,labour_market_june_2025_manual_fixture,f2254ce92420ec96c9cc27b2282c0528a0a551c8a8db390720870cec305dca27,labour_market_june_2025_pdf,2025-06,observed,pdf_page_11,manual_pdf_transcription_v1,Information and communication,6-9,20,,exact,undertakings
1.0,labour_market_june_2025_manual_fixture,f2254ce92420ec96c9cc27b2282c0528a0a551c8a8db390720870cec305dca27,labour_market_june_2025_pdf,2025-06,observed,pdf_page_11,manual_pdf_transcription_v1,Information and communication,10-19,10,,exact,undertakings
1.0,labour_market_june_2025_manual_fixture,f2254ce92420ec96c9cc27b2282c0528a0a551c8a8db390720870cec305dca27,labour_market_june_2025_pdf,2025-06,observed,pdf_page_11,manual_pdf_transcription_v1,Information and communication,20-49,10,,exact,undertakings
1.0,labour_market_june_2025_manual_fixture,f2254ce92420ec96c9cc27b2282c0528a0a551c8a8db390720870cec305dca27,labour_market_june_2025_pdf,2025-06,observed,pdf_page_11,manual_pdf_transcription_v1,Information and communication,50+,10,,exact,undertakings
1.0,labour_market_june_2025_manual_fixture,f2254ce92420ec96c9cc27b2282c0528a0a551c8a8db390720870cec305dca27,labour_market_june_2025_pdf,2025-06,observed,pdf_page_11,manual_pdf_transcription_v1,Financial and legal activities,1,300,,exact,undertakings
1.0,labour_market_june_2025_manual_fixture,f2254ce92420ec96c9cc27b2282c0528a0a551c8a8db390720870cec305dca27,labour_market_june_2025_pdf,2025-06,observed,pdf_page_11,manual_pdf_transcription_v1,Financial and legal activities,2-5,200,,exact,undertakings
1.0,labour_market_june_2025_manual_fixture,f2254ce92420ec96c9cc27b2282c0528a0a551c8a8db390720870cec305dca27,labour_market_june_2025_pdf,2025-06,observed,pdf_page_11,manual_pdf_transcription_v1,Financial and legal activities,6-9,60,,exact,undertakings
1.0,labour_market_june_2025_manual_fixture,f2254ce92420ec96c9cc27b2282c0528a0a551c8a8db390720870cec305dca27,labour_market_june_2025_pdf,2025-06,observed,pdf_page_11,manual_pdf_transcription_v1,Financial and legal activities,10-19,50,,exact,undertakings
1.0,labour_market_june_2025_manual_fixture,f2254ce92420ec96c9cc27b2282c0528a0a551c8a8db390720870cec305dca27,labour_market_june_2025_pdf,2025-06,observed,pdf_page_11,manual_pdf_transcription_v1,Financial and legal activities,20-49,40,,exact,undertakings
1.0,labour_market_june_2025_manual_fixture,f2254ce92420ec96c9cc27b2282c0528a0a551c8a8db390720870cec305dca27,labour_market_june_2025_pdf,2025-06,observed,pdf_page_11,manual_pdf_transcription_v1,Financial and legal activities,50+,70,,exact,undertakings
1.0,labour_market_june_2025_manual_fixture,f2254ce92420ec96c9cc27b2282c0528a0a551c8a8db390720870cec305dca27,labour_market_june_2025_pdf,2025-06,observed,pdf_page_11,manual_pdf_transcription_v1,Miscellaneous business activities,1,1240,,exact,undertakings
1.0,labour_market_june_2025_manual_fixture,f2254ce92420ec96c9cc27b2282c0528a0a551c8a8db390720870cec305dca27,labour_market_june_2025_pdf,2025-06,observed,pdf_page_11,manual_pdf_transcription_v1,Miscellaneous business activities,2-5,420,,exact,undertakings
1.0,labour_market_june_2025_manual_fixture,f2254ce92420ec96c9cc27b2282c0528a0a551c8a8db390720870cec305dca27,labour_market_june_2025_pdf,2025-06,observed,pdf_page_11,manual_pdf_transcription_v1,Miscellaneous business activities,6-9,80,,exact,undertakings
1.0,labour_market_june_2025_manual_fixture,f2254ce92420ec96c9cc27b2282c0528a0a551c8a8db390720870cec305dca27,labour_market_june_2025_pdf,2025-06,observed,pdf_page_11,manual_pdf_transcription_v1,Miscellaneous business activities,10-19,70,,exact,undertakings
