schema_version,source_id,source_sha256,evidence_source_id,reference_period,observation_status,source_locator,transformation_id,parish,age_band,sex,count
1.0,census_2021_parish_age_sex_csv,532eb6d7a9a76b682ab056ba45f09f129bd768b71d45f7f7b0d587af95d8ff39,,2021-03-21,observed,csv_grouville_all,csv_parish_age_sex_long_v1,Grouville,65-69,all,339
1.0,census_2021_parish_age_sex_csv,532eb6d7a9a76b682ab056ba45f09f129bd768b71d45f7f7b0d587af95d8ff39,,2021-03-21,observed,csv_grouville_all,csv_parish_age_sex_long_v1,Grouville,70-74,all,308
1.0,census_2021_parish_age_sex_csv,532eb6d7a9a76b682ab056ba45f09f129bd768b71d45f7f7b0d587af95d8ff39,,2021-03-21,observed,csv_grouville_all,csv_parish_age_sex_long_v1,Grouville,75-79,all,234
1.0,census_2021_parish_age_sex_csv,532eb6d7a9a76b682ab056ba45f09f129bd768b71d45f7f7b0d587af95d8ff39,,2021-03-21,observed,csv_grouville_all,csv_parish_age_sex_long_v1,Grouville,80+,all,374
1.0,census_2021_parish_age_sex_csv,532eb6d7a9a76b682ab056ba45f09f129bd768b71d45f7f7b0d587af95d8ff39,,2021-03-21,observed,csv_grouville_all,csv_parish_age_sex_long_v1,Grouville,All,all,5401
1.0,census_2021_parish_age_sex_csv,532eb6d7a9a76b682ab056ba45f09f129bd768b71d45f7f7b0d587af95d8ff39,,2021-03-21,observed,csv_st_brelade_female,csv_parish_age_sex_long_v1,St Brelade,<5,female,209
1.0,census_2021_parish_age_sex_csv,532eb6d7a9a76b682ab056ba45f09f129bd768b71d45f7f7b0d587af95d8ff39,,2021-03-21,observed,csv_st_brelade_female,csv_parish_age_sex_long_v1,St Brelade,5-9,female,268
1.0,census_2021_parish_age_sex_csv,532eb6d7a9a76b682ab056ba45f09f129bd768b71d45f7f7b0d587af95d8ff39,,2021-03-21,observed,csv_st_brelade_female,csv_parish_age_sex_long_v1,St Brelade,10-14,female,286
1.0,census_2021_parish_age_sex_csv,532eb6d7a9a76b682ab056ba45f09f129bd768b71d45f7f7b0d587af95d8ff39,,2021-03-21,observed,csv_st_brelade_female,csv_parish_age_sex_long_v1,St Brelade,15-19,female,246
1.0,census_2021_parish_age_sex_csv,532eb6d7a9a76b682ab056ba45f09f129bd768b71d45f7f7b0d587af95d8ff39,,2021-03-21,observed,csv_st_brelade_female,csv_parish_age_sex_long_v1,St Brelade,20-24,female,252
1.0,census_2021_parish_age_sex_csv,532eb6d7a9a76b682ab056ba45f09f129bd768b71d45f7f7b0d587af95d8ff39,,2021-03-21,observed,csv_st_brelade_female,csv_parish_age_sex_long_v1,St Brelade,25-29,female,216
1.0,census_2021_parish_age_sex_csv,532eb6d7a9a76b682ab056ba45f09f129bd768b71d45f7f7b0d587af95d8ff39,,2021-03-21,observed,csv_st_brelade_female,csv_parish_age_sex_long_v1,St Brelade,30-34,female,238
1.0,census_2021_parish_age_sex_csv,532eb6d7a9a76b682ab056ba45f09f129bd768b71d45f7f7b0d587af95d8ff39,,2021-03-21,observed,csv_st_brelade_female,csv_parish_age_sex_long_v1,St Brelade,35-39,female,350
1.0,census_2021_parish_age_sex_csv,532eb6d7a9a76b682ab056ba45f09f129bd768b71d45f7f7b0d587af95d8ff39,,2021-03-21,observed,csv_st_brelade_female,csv_parish_age_sex_long_v1,St Brelade,40-44,female,346
1.0,census_2021_parish_age_sex_csv,532eb6d7a9a76b682ab056ba45f09f129bd768b71d45f7f7b0d587af95d8ff39,,2021-03-21,observed,csv_st_brelade_female,csv_parish_age_sex_long_v1,St Brelade,45-49,female,369
1.0,census_2021_parish_age_sex_csv,532eb6d7a9a76b682ab056ba45f09f129bd768b71d45f7f7b0d587af95d8ff39,,2021-03-21,observed,csv_st_brelade_female,csv_parish_age_sex_long_v1,St Brelade,50-54,female,468
1.0,census_2021_parish_age_sex_csv,532eb6d7a9a76b682ab056ba45f09f129bd768b71d45f7f7b0d587af95d8ff39,,2021-03-21,observed,csv_st_brelade_female,csv_parish_age_sex_long_v1,St Brelade,55-59,female,472
1.0,census_2021_parish_age_sex_csv,532eb6d7a9a76b682ab056ba45f09f129bd768b71d45f7f7b0d587af95d8ff39,,2021-03-21,observed,csv_st_brelade_female,csv_parish_age_sex_long_v1,St Brelade,60-64,female,407
1.0,census_2021_parish_age_sex_csv,532eb6d7a9a76b682ab056ba45f09f129bd768b71d45f7f7b0d587af95d8ff39,,2021-03-21,observed,csv_st_brelade_female,csv_parish_age_sex_long_v1,St Brelade,65-69,female,326
1.0,census_2021_parish_age_sex_csv,532eb6d7a9a76b682ab056ba45f09f129bd768b71d45f7f7b0d587af95d8ff39,,2021-03-21,observed,csv_st_brelade_female,csv_parish_age_sex_long_v1,St Brelade,70-74,female,334
1.0,census_2021_parish_age_sex_csv,532eb6d7a9a76b682ab056ba45f09f129bd768b71d45f7f7b0d587af95d8ff39,,2021-03-21,observed,csv_st_brelade_female,csv_parish_age_sex_long_v1,St Brelade,75-79,female,248
1.0,census_2021_parish_age_sex_csv,532eb6d7a9a76b682ab056ba45f09f129bd768b71d45f7f7b0d587af95d8ff39,,2021-03-21,observed,csv_st_brelade_female,csv_parish_age_sex_long_v1,St Brelade,80+,female,521
1.0,census_2021_parish_age_sex_csv,532eb6d7a9a76b682ab056ba45f09f129bd768b71d45f7f7b0d587af95d8ff39,,2021-03-21,observed,csv_st_brelade_female,csv_parish_age_sex_long_v1,St Brelade,All,female,5556
1.0,census_2021_parish_age_sex_csv,532eb6d7a9a76b682ab056ba45f09f129bd768b71d45f7f7b0d587af95d8ff39,,2021-03-21,observed,csv_st_brelade_male,csv_parish_age_sex_long_v1,St Brelade,<5,male,207
1.0,census_2021_parish_age_sex_csv,532eb6d7a9a76b682ab056ba45f09f129bd768b71d45f7f7b0d587af95d8ff39,,2021-03-21,observed,csv_st_brelade_male,csv_parish_age_sex_long_v1,St Brelade,5-9,male,289
1.0,census_2021_parish_age_sex_csv,532eb6d7a9a76b682ab056ba45f09f129bd768b71d45f7f7b0d587af95d8ff39,,2021-03-21,observed,csv_st_brelade_male,csv_parish_age_sex_long_v1,St Brelade,10-14,male,293
1.0,census_2021_parish_age_sex_csv,532eb6d7a9a76b682ab056ba45f09f129bd768b71d45f7f7b0d587af95d8ff39,,2021-03-21,observed,csv_st_brelade_male,csv_parish_age_sex_long_v1,St Brelade,15-19,male,294
1.0,census_2021_parish_age_sex_csv,532eb6d7a9a76b682ab056ba45f09f129bd768b71d45f7f7b0d587af95d8ff39,,2021-03-21,observed,csv_st_brelade_male,csv_parish_age_sex_long_v1,St Brelade,20-24,male,321
1.0,census_2021_parish_age_sex_csv,532eb6d7a9a76b682ab056ba45f09f129bd768b71d45f7f7b0d587af95d8ff39,,2021-03-21,observed,csv_st_brelade_male,csv_parish_age_sex_long_v1,St Brelade,25-29,male,236
1.0,census_2021_parish_age_sex_csv,532eb6d7a9a76b682ab056ba45f09f129bd768b71d45f7f7b0d587af95d8ff39,,2021-03-21,observed,csv_st_brelade_male,csv_parish_age_sex_long_v1,St Brelade,30-34,male,275
1.0,census_2021_parish_age_sex_csv,532eb6d7a9a76b682ab056ba45f09f129bd768b71d45f7f7b0d587af95d8ff39,,2021-03-21,observed,csv_st_brelade_male,csv_parish_age_sex_long_v1,St Brelade,35-39,male,346
1.0,census_2021_parish_age_sex_csv,532eb6d7a9a76b682ab056ba45f09f129bd768b71d45f7f7b0d587af95d8ff39,,2021-03-21,observed,csv_st_brelade_male,csv_parish_age_sex_long_v1,St Brelade,40-44,male,344
1.0,census_2021_parish_age_sex_csv,532eb6d7a9a76b682ab056ba45f09f129bd768b71d45f7f7b0d587af95d8ff39,,2021-03-21,observed,csv_st_brelade_male,csv_parish_age_sex_long_v1,St Brelade,45-49,male,353
1.0,census_2021_parish_age_sex_csv,532eb6d7a9a76b682ab056ba45f09f129bd768b71d45f7f7b0d587af95d8ff39,,2021-03-21,observed,csv_st_brelade_male,csv_parish_age_sex_long_v1,St Brelade,50-54,male,476
1.0,census_2021_parish_age_sex_csv,532eb6d7a9a76b682ab056ba45f09f129bd768b71d45f7f7b0d587af95d8ff39,,2021-03-21,observed,csv_st_brelade_male,csv_parish_age_sex_long_v1,St Brelade,55-59,male,438
