schema_version,source_id,source_sha256,evidence_source_id,reference_period,observation_status,source_locator,transformation_id,measure,sector,sex,value,unit
1.0,census_2021_industry_sex_csv,fa5771d6a2b5ab80e8764d20596d3d0cf1f5b66b2da02dac82e00bd208850dbb,,2021-03-21,observed,csv_all_female,csv_industry_sex_long_v1,resident_workers,All,female,26943,people
1.0,census_2021_industry_sex_csv,fa5771d6a2b5ab80e8764d20596d3d0cf1f5b66b2da02dac82e00bd208850dbb,,2021-03-21,observed,csv_all_all,csv_industry_sex_long_v1,resident_workers,All,all,57338,people
1.0,labour_market_june_2025_manual_fixture,f2254ce92420ec96c9cc27b2282c0528a0a551c8a8db390720870cec305dca27,labour_market_june_2025_pdf,2025-06,observed,pdf_page_13,manual_pdf_transcription_v1,jobs,Agriculture and fishing,,1200,jobs
1.0,labour_market_june_2025_manual_fixture,f2254ce92420ec96c9cc27b2282c0528a0a551c8a8db390720870cec305dca27,labour_market_june_2025_pdf,2025-06,observed,pdf_page_13,manual_pdf_transcription_v1,jobs,Manufacturing,,940,jobs
1.0,labour_market_june_2025_manual_fixture,f2254ce92420ec96c9cc27b2282c0528a0a551c8a8db390720870cec305dca27,labour_market_june_2025_pdf,2025-06,observed,pdf_page_13,manual_pdf_transcription_v1,jobs,Construction and quarrying,,6130,jobs
1.0,labour_market_june_2025_manual_fixture,f2254ce92420ec96c9cc27b2282c0528a0a551c8a8db390720870cec305dca27,labour_market_june_2025_pdf,2025-06,observed,pdf_page_13,manual_pdf_transcription_v1,jobs,Utilities and waste,,800,jobs
1.0,labour_market_june_2025_manual_fixture,f2254ce92420ec96c9cc27b2282c0528a0a551c8a8db390720870cec305dca27,labour_market_june_2025_pdf,2025-06,observed,pdf_page_13,manual_pdf_transcription_v1,jobs,Wholesale and retail,,6780,jobs
1.0,labour_market_june_2025_manual_fixture,f2254ce92420ec96c9cc27b2282c0528a0a551c8a8db390720870cec305dca27,labour_market_june_2025_pdf,2025-06,observed,pdf_page_13,manual_pdf_transcription_v1,jobs,Hotels restaurants and bars,,6020,jobs
1.0,labour_market_june_2025_manual_fixture,f2254ce92420ec96c9cc27b2282c0528a0a551c8a8db390720870cec305dca27,labour_market_june_2025_pdf,2025-06,observed,pdf_page_13,manual_pdf_transcription_v1,jobs,Transport and storage,,2160,jobs
1.0,labour_market_june_2025_manual_fixture,f2254ce92420ec96c9cc27b2282c0528a0a551c8a8db390720870cec305dca27,labour_market_june_2025_pdf,2025-06,observed,pdf_page_13,manual_pdf_transcription_v1,jobs,Information and communication,,1740,jobs
1.0,labour_market_june_2025_manual_fixture,f2254ce92420ec96c9cc27b2282c0528a0a551c8a8db390720870cec305dca27,labour_market_june_2025_pdf,2025-06,observed,pdf_page_13,manual_pdf_transcription_v1,jobs,Financial and legal activities,,13900,jobs
1.0,labour_market_june_2025_manual_fixture,f2254ce92420ec96c9cc27b2282c0528a0a551c8a8db390720870cec305dca27,labour_market_june_2025_pdf,2025-06,observed,pdf_page_13,manual_pdf_transcription_v1,jobs,Miscellaneous business activities,,6330,jobs
1.0,labour_market_june_2025_manual_fixture,f2254ce92420ec96c9cc27b2282c0528a0a551c8a8db390720870cec305dca27,labour_market_june_2025_pdf,2025-06,observed,pdf_page_13,manual_pdf_transcription_v1,jobs,Private education health and other services,,9360,jobs
1.0,labour_market_june_2025_manual_fixture,f2254ce92420ec96c9cc27b2282c0528a0a551c8a8db390720870cec305dca27,labour_market_june_2025_pdf,2025-06,observed,pdf_page_13,manual_pdf_transcription_v1,jobs,Private sector,,55370,jobs
